"","NGenes","Direction","PValue","FDR"
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX",71,"Up",5.6261848896759e-05,0.00349329187644371
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS",28,"Up",5.73987887732325e-05,0.00352428563067648
"SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_UP",22,"Up",6.21725597219713e-05,0.00377544576949026
"YANAGISAWA_LUNG_CANCER_RECURRENCE",26,"Up",6.63947499738014e-05,0.00398801509081768
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",382,"Up",6.88560672023933e-05,0.00409138308989705
"BURTON_ADIPOGENESIS_3",142,"Up",7.88164046290346e-05,0.00463339842531963
"REACTOME_CELL_CYCLE_CHECKPOINTS",331,"Up",7.97971421387354e-05,0.00464167376272265
"ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN",53,"Up",8.16193919909454e-05,0.0046982162514788
"SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP",257,"Up",8.36386584121882e-05,0.00476481676686342
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",74,"Up",8.4888557589457e-05,0.00478667519631979
"KAUFFMANN_MELANOMA_RELAPSE_UP",64,"Up",9.27693410135708e-05,0.00512134353237816
"TIEN_INTESTINE_PROBIOTICS_6HR_UP",72,"Up",9.33876247961136e-05,0.00512134353237816
"REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",111,"Up",9.36039986916746e-05,0.00512134353237816
"ABRAMSON_INTERACT_WITH_AIRE",86,"Up",9.46931241632191e-05,0.00513013925613675
"REACTOME_RMTS_METHYLATE_HISTONE_ARGININES",79,"Up",0.000101417625326475,0.00541162686735034
"BENPORATH_PROLIFERATION",172,"Up",0.000101847483569388,0.00541162686735034
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS",108,"Up",0.000103468341160763,0.00543256438728471
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",22,"Up",0.000104207713545454,0.00543256438728471
"REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION",110,"Up",0.000112410139554462,0.00580540589885943
"HAHTOLA_MYCOSIS_FUNGOIDES_UP",58,"Up",0.000117735729570319,0.00601775066627247
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",135,"Up",0.000118699750746236,0.00601775066627247
"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC",11,"Up",0.000125369358274401,0.00629810067113036
"REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION",110,"Up",0.00013079272425694,0.00651135670489954
"ANDERSEN_LIVER_CANCER_KRT19_UP",42,"Up",0.000141527292100702,0.0069828555013257
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX",33,"Up",0.000143641798366899,0.00702446529004854
"REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",77,"Up",0.000145948822269283,0.00707467712157948
"REICHERT_MITOSIS_LIN9_TARGETS",30,"Up",0.000151160962096895,0.00724852019850749
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",94,"Up",0.000152158585419267,0.00724852019850749
"BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2",95,"Up",0.000154755320002296,0.00730921280626227
"DANG_MYC_TARGETS_UP",154,"Up",0.000168466019217854,0.00788934934065982
"SANCHEZ_MDM2_TARGETS",44,"Up",0.000172915973521138,0.00802969470317485
"REACTOME_MITOTIC_PROPHASE",145,"Up",0.000175208771083983,0.00806836390841743
"MISSIAGLIA_REGULATED_BY_METHYLATION_DN",146,"Up",0.000178950541421313,0.00817256770160474
"REACTOME_POLYMERASE_SWITCHING",14,"Up",0.000180886196877336,0.0081932551142964
"GAVIN_FOXP3_TARGETS_CLUSTER_P6",123,"Up",0.000183149561406895,0.00822832907589024
"REACTOME_HCMV_LATE_EVENTS",110,"Up",0.000186170295891201,0.00828567924753538
"REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",21,"Up",0.000187424883449497,0.00828567924753538
"REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES",11,"Up",0.00019020616313969,0.0083418988691264
"REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE",17,"Up",0.000198439061995801,0.00863444296526611
"REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",112,"Up",0.000201255942495601,0.00868859639242726
"REACTOME_PHOSPHORYLATION_OF_EMI1",6,"Up",0.000203473566806735,0.00871623976879086
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS",244,"Up",0.00021731778898216,0.00921492108557352
"GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP",688,"Up",0.000219227931601693,0.00921492108557352
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",14,"Up",0.000220117550361148,0.00921492108557352
"BIOCARTA_MCM_PATHWAY",18,"Up",0.000233698676892355,0.009709916454941
"LEE_EARLY_T_LYMPHOCYTE_UP",117,"Up",0.000235517211144047,0.00971244857300003
"KONG_E2F1_TARGETS",29,"Up",0.000242954104526415,0.00994492134528126
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",90,"Up",0.000256264692641964,0.0103784436212513
"OLSSON_E2F3_TARGETS_DN",84,"Up",0.000257301262416111,0.0103784436212513
"MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP",14,"Up",0.00026393491785395,0.0105688721453691
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING",30,"Up",0.00028662270709621,0.0113157524923219
"REACTOME_RRNA_PROCESSING",204,"Up",0.000288356622519894,0.0113157524923219
"REACTOME_RHO_GTPASES_ACTIVATE_PKNS",98,"Up",0.000288729841009299,0.0113157524923219
"REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS",116,"Up",0.000313749647528561,0.0122090248049202
"MIKHAYLOVA_OXIDATIVE_STRESS_RESPONSE_VIA_VHL_UP",8,"Up",0.000315941105158087,0.0122090248049202
"REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION",109,"Up",0.000324539845190862,0.012395000996823
"PIONTEK_PKD1_TARGETS_DN",43,"Up",0.000325239801762457,0.012395000996823
"REACTOME_S_PHASE",172,"Up",0.000332171880456703,0.0125724781602996
"HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP",40,"Up",0.000348022439872704,0.0130828027397045
"REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT",5,"Up",0.000358106000078953,0.0133709037597047
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",162,"Up",0.000374746190161101,0.0138983050122835
"REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER",26,"Up",0.000380502115163836,0.0140098815422312
"MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN",64,"Up",0.00038282521043737,0.0140098815422312
"REACTOME_CELL_CYCLE_MITOTIC",599,"Up",0.000409361319780181,0.014775927513787
"LE_EGR2_TARGETS_UP",177,"Up",0.000409767853022088,0.014775927513787
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS",19,"Up",0.00041344682975045,0.014775927513787
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE",13,"Up",0.000416079541306956,0.014775927513787
"TAKAO_RESPONSE_TO_UVB_RADIATION_UP",110,"Up",0.000418366025205543,0.014775927513787
"REACTOME_EXTENSION_OF_TELOMERES",45,"Up",0.000419801053142338,0.014775927513787
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",38,"Up",0.000434091431875321,0.0150730107477533
"ZHENG_RESPONSE_TO_ARSENITE_UP",23,"Up",0.000437958483069865,0.0150730107477533
"REACTOME_METABOLISM_OF_POLYAMINES",60,"Up",0.00044095728146402,0.0150730107477533
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP",224,"Up",0.000441128014227317,0.0150730107477533
"BILANGES_SERUM_RESPONSE_TRANSLATION",38,"Up",0.000441879793908076,0.0150730107477533
"REACTOME_G1_S_SPECIFIC_TRANSCRIPTION",31,"Up",0.000445465147246056,0.0151020883661454
"RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN",29,"Up",0.000462742428044271,0.0155921625449551
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",76,"Up",0.000472800709308428,0.0158345255735659
"XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_DN",36,"Up",0.000478357063117173,0.0158384804347829
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",25,"Up",0.000478651145966112,0.0158384804347829
"HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN",21,"Up",0.000488398548211094,0.0160648236750863
"HASLINGER_B_CLL_WITH_6Q21_DELETION",44,"Up",0.000492238387341294,0.0160953214701064
"REACTOME_HOMOLOGY_DIRECTED_REPAIR",157,"Up",0.00050637029041952,0.0164600130874016
"MORI_MATURE_B_LYMPHOCYTE_DN",92,"Up",0.000510990339460112,0.0165130562330794
"ZHANG_RESPONSE_TO_CANTHARIDIN_DN",81,"Up",0.000515942780917943,0.0165761616706544
"LY_AGING_PREMATURE_DN",53,"Up",0.000526945855365175,0.0168318080736876
"FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP",51,"Up",0.000530753314447312,0.0168559931933094
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",210,"Up",0.000540434808785845,0.0169378720967224
"BIOCARTA_RB_PATHWAY",13,"Up",0.000542819978558866,0.0169378720967224
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",66,"Up",0.000544800063807843,0.0169378720967224
"JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP",76,"Up",0.000545591971266122,0.0169378720967224
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14",190,"Up",0.000567202137054075,0.0175103855271554
"WINNEPENNINCKX_MELANOMA_METASTASIS_UP",198,"Up",0.000574838516897918,0.0176475424687661
"HORIUCHI_WTAP_TARGETS_DN",407,"Up",0.000590737353276838,0.0180354398575017
"REACTOME_CRISTAE_FORMATION",29,"Up",0.000599796101406496,0.0182113915185291
"REACTOME_MEIOSIS",118,"Up",0.000612374383968451,0.0184916986109818
"REACTOME_M_PHASE",446,"Up",0.000615993332646116,0.0184998867184915
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST",13,"Up",0.000623152698811378,0.0185195105785025
"PUJANA_BRCA_CENTERED_NETWORK",147,"Up",0.000623349433152637,0.0185195105785025
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",142,"Up",0.000628774093298387,0.0185447417457467
"REACTOME_G2_PHASE",4,"Up",0.00063091050456033,0.0185447417457467
"IRITANI_MAD1_TARGETS_DN",51,"Up",0.000648449014919128,0.0188800050935973
"PID_PLK1_PATHWAY",58,"Up",0.000652255023294173,0.0188800050935973
"BIOCARTA_RANMS_PATHWAY",11,"Up",0.000652566227447897,0.0188800050935973
"SEMBA_FHIT_TARGETS_DN",9,"Up",0.000669306620897792,0.0192634811827146
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",28,"Up",0.000678098727121848,0.0194154070781105
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",104,"Up",0.000706931682179899,0.0201366210088975
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA",64,"Up",0.000714522424526533,0.0202484662458135
"REACTOME_MEIOTIC_SYNAPSIS",83,"Up",0.000738650634009517,0.0208254255282479
"HAHTOLA_CTCL_CUTANEOUS",59,"Up",0.000764026358735973,0.0214315211085025
"DALESSIO_TSA_RESPONSE",51,"Up",0.000770521980320609,0.0215045679962206
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",260,"Up",0.000782438284939369,0.0217274068471103
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",71,"Up",0.000793256349852469,0.0219176729464237
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS",96,"Up",0.00084708344567958,0.0232884732379371
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",20,"Up",0.000863688039074836,0.0236274262570671
"RAHMAN_TP53_TARGETS_PHOSPHORYLATED",27,"Up",0.000899269109106261,0.0244796113148827
"REACTOME_GENE_SILENCING_BY_RNA",131,"Up",0.000914621996780301,0.0247754958539605
"REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ",84,"Up",0.000980630844574208,0.0262762572075477
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",131,"Up",0.000982581734758581,0.0262762572075477
"GENTILE_UV_HIGH_DOSE_UP",48,"Up",0.000984289765103579,0.0262762572075477
"CAIRO_HEPATOBLASTOMA_CLASSES_UP",701,"Up",0.00102621963445189,0.0272195033071447
"REACTOME_HCMV_EARLY_EVENTS",139,"Up",0.00102947451885509,0.0272195033071447
"REACTOME_DNA_REPLICATION_INITIATION",8,"Up",0.00103810526065272,0.0273169984303187
"BIOCARTA_CDC25_PATHWAY",9,"Up",0.00106965521198642,0.0279583318195205
"CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN",183,"Up",0.00107259615377097,0.0279583318195205
"ZHAN_V2_LATE_DIFFERENTIATION_GENES",75,"Up",0.0011050634891107,0.0286693936189002
"MARSON_BOUND_BY_E2F4_UNSTIMULATED",764,"Up",0.0011717716368025,0.0302579909578067
"TARTE_PLASMA_CELL_VS_PLASMABLAST_DN",392,"Up",0.00120325093421758,0.0309263472673783
"MANALO_HYPOXIA_DN",349,"Up",0.00123110032279874,0.0313594448066582
"MARKEY_RB1_ACUTE_LOF_UP",296,"Up",0.00123145123471676,0.0313594448066582
"CHUANG_OXIDATIVE_STRESS_RESPONSE_DN",30,"Up",0.00124511647666918,0.0314450384193998
"REACTOME_CELL_CYCLE",720,"Up",0.00124619316211519,0.0314450384193998
"RUIZ_TNC_TARGETS_DN",200,"Up",0.0012566009143198,0.0315635302387783
"POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN",52,"Up",0.0012684624127989,0.0317172999688991
"HU_GENOTOXIC_DAMAGE_4HR",73,"Up",0.00128915809787986,0.0319799760164913
"BIOCARTA_ETC_PATHWAY",10,"Up",0.00129054192031805,0.0319799760164913
"FUJII_YBX1_TARGETS_DN",256,"Up",0.00129952061622151,0.0320587094876789
"MOOTHA_VOXPHOS",87,"Up",0.00134215907388779,0.0329634268546842
"LIANG_SILENCED_BY_METHYLATION_DN",11,"Up",0.00135267746929322,0.0330747597137803
"YU_BAP1_TARGETS",38,"Up",0.00142986610713756,0.0348081062028289
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",52,"Up",0.00145084209433806,0.0349014176171421
"RHODES_CANCER_META_SIGNATURE",104,"Up",0.0014520285015042,0.0349014176171421
"SESTO_RESPONSE_TO_UV_C3",55,"Up",0.00145264677016697,0.0349014176171421
"NAKAMURA_CANCER_MICROENVIRONMENT_DN",53,"Up",0.00148500755839534,0.0353433134178921
"CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP",188,"Up",0.00148555206883994,0.0353433134178921
"BIOCARTA_P27_PATHWAY",14,"Up",0.00149398529142824,0.0353433134178921
"SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",583,"Up",0.00149662239228859,0.0353433134178921
"HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN",25,"Up",0.00151209807346773,0.0355568253360966
"REACTOME_STABILIZATION_OF_P53",61,"Up",0.00156584416277444,0.0365795119965081
"FARMER_BREAST_CANCER_CLUSTER_2",36,"Up",0.00156882814751582,0.0365795119965081
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",155,"Up",0.00159232739882362,0.0369714336382324
"HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN",50,"Up",0.00161636243067249,0.0373724635644193
"FU_INTERACT_WITH_ALKBH8",16,"Up",0.00164116200090697,0.037787755070883
"SANA_RESPONSE_TO_IFNG_DN",115,"Up",0.00167874211994915,0.0384926512648921
"ODONNELL_TFRC_TARGETS_DN",169,"Up",0.00175804353221633,0.0399440724655406
"REACTOME_DNA_DAMAGE_BYPASS",53,"Up",0.00176079304036159,0.0399440724655406
"REACTOME_REPRODUCTION",128,"Up",0.00176372668867027,0.0399440724655406
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE",18,"Up",0.00180873803011953,0.040796270834451
"GENTLES_LEUKEMIC_STEM_CELL_DN",12,"Up",0.00183152861254418,0.0411423866378826
"FISCHER_DREAM_TARGETS",1163,"Up",0.00190375088077348,0.0425050518987158
"CHIARETTI_T_ALL_RELAPSE_PROGNOSIS",39,"Up",0.00190757380942481,0.0425050518987158
